"","tf"
"바라다",4
"바람",4
"세바퀴에",4
"mbc",3
"걸다",3
"그것",3
"그리다",3
"다시보기",3
"따다",3
"알고싶다",3
"지구",3
"한비",3
"한비야",3
"검색어",2
"그렇다",2
"급상승",2
"나가다",2
"네이버",2
"닥본사",2
"데자뷰",2
"디셈버",2
"블로그",2
"비욘세",2
"선생님",2
"세바퀴를",2
"세트",2
"소유",2
"실시",2
"씨스타",2
"우사인볼트",2
"이런거",2
"이야기",2
"정수빈",2
"제가",2
"종영",2
"토요일",2
"토익",2
"프로그램",2
"확인",2
"활동",2
"book",1
"gd래",1
"lotte",1
"lovepop",1
"pm쇼",1
"q배고파",1
"via",1
"waglewagle",1
"가슴으로운다",1
"간거",1
"강심장",1
"개강",1
"개다",1
"거하다",1
"겹치다",1
"고민되네",1
"곡식",1
"골반댄스",1
"공금럽실소안녕하세요세바퀴입니다샤이니종현군바꿔",1
"굿잡",1
"그나저",1
"그나저나",1
"그래도세바퀴는봐야되",1
"그런데",1
"그리고려욱치면여친나오는데권희진tagquestion그사람가수권희진아니네여네티즌님",1
"그리고오작교형제들도",1
"그애tagquestion미친",1
"기달려줘",1
"기분",1
"기틀",1
"긴장",1
"김정은",1
"김정은의",1
"나오짛",1
"내사랑내곁",1
"넌내게반",1
"네네",1
"네이버책",1
"녹화장",1
"녹화현장",1
"눈맞춤하자구",1
"뉴스",1
"다음",1
"닥치고본방사수",1
"단발누",1
"단발누나",1
"단지아파트",1
"당일치기",1
"대규나온다",1
"대기실콘서트장",1
"대박",1
"더상처",1
"더상처받아",1
"더상처받아요",1
"더웠다",1
"데자뷰를",1
"들려주다",1
"등당첨",1
"디셈버세바퀴나왓다는것같은데아",1
"따뜻",1
"따지다",1
"라디오",1
"라디오스타",1
"랍니돠",1
"러브팝",1
"려욱",1
"려욱보",1
"로또",1
"롤코나온",1
"마련",1
"마무리",1
"마음",1
"만원상품권",1
"많다",1
"맞다",1
"매력",1
"먼곳",1
"먼곳에",1
"메디컬테스트",1
"못하다",1
"무도진짜레알짱",1
"무한도전",1
"뭐이런말",1
"미친분",1
"미투삼십이넘어서",1
"미투질",1
"미투하장",1
"민망",1
"민우오빠랑",1
"민우오빠랑같",1
"바빠지겠구",1
"바빠지다",1
"박주영",1
"발도장",1
"방송다",1
"방송분",1
"백청강",1
"백화점",1
"베베미뇽tagquestion거기",1
"변태예능",1
"별점",1
"보고잘까",1
"보라",1
"본방사수",1
"본방사수해주세욤",1
"불가느",1
"불타",1
"비내린다",1
"비내린다고",1
"비춰줘야",1
"빙의",1
"사라지다",1
"사람tagquestion",1
"사랑",1
"살뺀건맞는데",1
"삼산타운주공",1
"생각",1
"서다",1
"선생님의이야기",1
"선선",1
"성대현이란사람",1
"성수",1
"성형드립tagquestion지랄하넼",1
"세바퀴누구나와요tagquestion",1
"세바퀴도한당",1
"세바퀴보",1
"세바퀴보고와서기대하겠쒘",1
"세바퀴보구올께",1
"세바퀴보구올께요",1
"세바퀴보는대",1
"세바퀴보셨나요tagquestion",1
"세바퀴본방사수",1
"세바퀴쁘리덤",1
"세바퀴시작",1
"세바퀴신고은변기수박성호변기수",1
"세바퀴애정만만세세덴라데",1
"세바퀴에대규나",1
"세바퀴에대규나와",1
"세바퀴에윤혁이원샷",1
"세바퀴의",1
"세바퀴정아리지디셈버",1
"세바퀴프리덤웃곀",1
"세바퀴한컷",1
"소식",1
"소중",1
"스케치북",1
"스티브잡스",1
"스티븐잡스",1
"시간",1
"시완오빠",1
"시원",1
"시즌",1
"신고은",1
"신기한건",1
"실사를올릴수있을깡",1
"싶다",1
"ㅇㅅㅇ",1
"아니다",1
"아ㄸ",1
"아마",1
"아빡쵸",1
"아스",1
"아스날",1
"아시겠졍tagquestiontagsmile",1
"아이린",1
"아임in",1
"아짱좋다",1
"아침",1
"아ㅣ유",1
"애매한시",1
"애청",1
"양해",1
"어딜까요tagquestion",1
"어떤가요tagquestion",1
"어떻게",1
"어떻게할까",1
"어후",1
"없어지다",1
"엘프한테밟히고싶나신인년이작작나대지썅어후",1
"엠마스톤",1
"여기",1
"여러분",1
"여무니까",1
"여친",1
"여친있",1
"여친있어서뭐",1
"여친있어서뭐해",1
"역시",1
"연습",1
"예능프로그램",1
"예전",1
"오늘세바퀴잼있으세요tagquestion",1
"오늘세바퀴출연자좀",1
"오늘세바퀴출연진",1
"오늘짱",1
"오늘짱이",1
"오빠안어울려",1
"오타",1
"오타는",1
