program_id	author_id	type	post_id	comment_id	publish_date	terms
sbs_boss	heekoo415	POST	pym00d_-549s4		2011-08-18	보스 지키(다) 시청률 exclamation
sbs_boss	all_my_bb	POST	pym016f-5c012		2011-08-19	보스를지켜 줄이(다) 영석이 영석이가 좋아하(다) 단어 나오(다) smile 아부끄려
sbs_boss	hsn9564	POST	pym01lz-5xrcd		2011-08-18	오늘 보스를지켜 첫장면 보기 보(다) 싫어 싫(다)
sbs_boss	lsyrose	POST	pym027i-5w5gm		2011-08-19	smile 오늘 보스 지키(다) 안하(다) cry o cry 언제 언제나 재밌어용
sbs_boss	teentop123	POST	pym02f0-5fdgw		2011-08-18	보스를지켜 본 보(다) 방 사 사(다)
sbs_boss	tbrktbrk33	POST	pym04y8-y_p4_		2011-08-19	그나저 그나저나 어제 보스 지키(다) 완전 짱
sbs_boss	ddh06209	POST	pym04_r-ygmcb		2011-08-18	심심 cry 빨(다) 넌내게반했어랑 보스를지켜 봐야 봐야되는데 exclamation 오늘 넌내게반 exclamation 막방 막방임 cry 본방사수 exclamation
sbs_boss	dornr19	POST	pym0577-5azn8		2011-08-19	오늘넌내게반했어끝 cry 사람들이유치하다고그런걸누가보냐고하지만난그래도뻔한그이야기가재미있었다 smile 정용화의눈물이잊혀지지가않는군 exclamation 이제보스를지켜 question exclamation smile
sbs_boss	akbg03155	POST	pym05jk-ypg1w		2011-08-20	보스 지키(다) 완전 인기 많(다) smile
sbs_boss	dudtlf56	POST	pym077x-yvk07		2011-08-19	검색창 보스를지켜 뇌구조 뇌구조를 치(다) 치세 exclamation
sbs_boss	year1663	POST	pym079_-qyyj		2011-08-18	보스를지켜라봐 exclamation question
sbs_boss	kl1225327	POST	pym07ro-t27l		2011-08-18	보스를지켜 본방사수 love
sbs_boss	hwaya_001	POST	pym07y5-15_3		2011-08-19	보스 지키(다) exclamation 등장인물 뇌구조 question exclamation exclamation exclamation exclamation exclamation
sbs_boss	qkrwldnjs852	POST	pym08ao-yqey_		2011-08-20	몇년째 봐야지봐야지 하(다) 뉴하트 love 를 어제서 보(다) 진심 이건 드라마 아니(다) 아니 작품 smile 작품중 명작 love 지성 요즘따 요즘따라 보스를지켜 뉴하트 뉴하트로 인해서 좋아지(다) love 아아아 smile smile 여튼 뉴하트 뉴하트가 진리 love love love 뉴하트 지성
sbs_boss	dlrectly	POST	pym08b9-fzxu		2011-08-18	보스 지키(다) 영웅재중 진짜 매력있는듯
sbs_boss	dihyunju	POST	pym08e1-_62sp		2011-08-21	여인 향기 넘 재밋오 그리(다) 보스 지켜 지켜라 재밋다 이제 빠이염 exclamation
sbs_boss	minka98	POST	pym09ka-_6z70		2011-08-20	오늘 보스 지키(다) 다시보기 회 봤당 exclamation 예은이 예은이와 승연이 승연이의 추천 추천대 정말 재밌더군 exclamation 완소코믹드라마 love love
sbs_boss	tkfkd6949	POST	pym0afw-e1ab		2011-08-20	보스를지켜 내 이제 아주 멋지(다) 예정 swf 인스티즈 instiz
sbs_boss	lovelycong00	POST	pym0ag0-5uo57		2011-08-18	최강희 티셔츠 셔츠 보스를지켜 회 최강희 노은설 옷 패션스타일 패션스타 체크무늬 셔츠 민트색 티셔츠 의상정보
sbs_boss	dhvh0402	POST	pym0as_-5u2gr		2011-08-19	엄마 이제개학 밤 에자야된데 에자야된데요 무사백동수 보스를지켜라어떡 엄마 미워 exclamation 슈스케도못본다 으헝헝헝
sbs_boss	dlauddms0203	POST	pym0avs-yz_m5		2011-08-19	방금 보스 지키(다) 보고 보(다) 보 오(다) 깨알재미만땅 smile
