"","tf"
"무한도전공연신청",200
"저희",85
"좋다",72
"학교",58
"싸이",48
"학년",45
"공연",39
"친구",35
"진짜",34
"공연신청",32
"싶다",30
"무한도전닮은꼴",29
"닮은꼴",28
"많다",28
"제발",28
"축제",27
"학생",27
"추억",26
"우리",25
"서울반포초등학교",24
"초등학교",24
"안녕",23
"정말",21
"좋은추억",21
"그리다",18
"만들다",18
"박명수",18
"완전",18
"이번",18
"사람",17
"좋아하다",17
"마지막",16
"싶어",16
"졸업하기전",16
"한번",16
"경기",15
"우리학교",15
"유재석",15
"주다",15
"많이",14
"수련회",14
"연예인",14
"입니",14
"입니다",14
"체험활동",14
"다녀오다",13
"만들어주thㅔ",13
"만들어주thㅔ요",13
"미투",13
"부탁",13
"서울",13
"속상해하고",13
"안좋은곳",13
"안좋은곳으",13
"재미",13
"저희학년",13
"제가",13
"제외",13
"제외되거",13
"좋은추억만들어주셨으면",13
"좋은추억하",13
"현장학습",13
"반포초",12
"저희학교",12
"졸업을압두고",12
"중학교",12
"즐겁다",12
"가요제",11
"노래",11
"대구",11
"댓글",11
"사랑",11
"서울시",11
"소지섭",11
"아니다",11
"얼마",11
"이렇게",11
"하나마",11
"하나마나",11
"오빠",10
"이번에",10
"정형돈",10
"졸업",10
"준비",10
"고속도",9
"고속도로",9
"꼭와주세",9
"꼭와주세요",9
"남기다",9
"다니다",9
"리쌍",9
"멤버",9
"서해안",9
"신청",9
"올해",9
"웃기다",9
"가져갈땐",8
"공모전",8
"공부",8
"닮다",8
"사용가능",8
"선배",8
"예능",8
"오셔서",8
"저녁",8
"초등학생",8
"거다",7
"노랗다",7
"대전",7
"무한도전아이콘",7
"반포초만",7
"소간지",7
"웃다",7
"위하다",7
"즐기다",7
"지다",7
"지방",7
"크다",7
"후배",7
"기다",6
"노홍철",6
"디자인",6
"마무리",6
"본방사수",6
"선물",6
"애들",6
"얼굴",6
"연예",6
"오시면",6
"운동장",6
"위치",6
"이르다",6
"이름",6
"저희는",6
"조금",6
"학기",6
"고등학교",5
"기다리다",5
"다르다",5
"디자",5
"미국",5
"보고싶어",5
"북구",5
"선생님",5
"시작",5
"싸이아들보유학교",5
"아들",5
"아이들",5
"안되다",5
"여기",5
"여러분",5
"저희가",5
"챙기다",5
"특별",5
"팬이에",5
"팬이에요",5
"하나",5
"해서",5
"힘들어",5
