program_id	author_id	type	post_id	comment_id	publish_date	terms
kbs1_greatking	b_soha	POST	pym09my-2kcq		2011-08-21	웅 맞아맞 맞아맞아 smile 향이는광개토보고있옹 question 
kbs1_greatking	robin4572	POST	pym0hs4-_j3f3		2011-08-20	엄마 광개토대왕봐서 코갓텔할때 놀쟈 
kbs1_greatking	ssk90846	POST	pym12jb-ysexn		2011-08-20	연살타 담덕 담망 고무 토 일 사극 드라마 question 광개토 태왕 대왕 
kbs1_greatking	putiaruna	POST	pym1dwb-_m7mq		2011-08-22	광개토 태왕 역시 오지은님 최고 smile 근데 도영 도영이 담덕 담덕과 좋 맺어지는는 않을것 같 걱정 cry cry 
kbs1_greatking	putiaruna	POST	pym1dwq-_m7mq		2011-08-22	광개토 태왕 담망 참 차 안타까웟다 역시 지혜롭 왕 답게 cry cry 
kbs1_greatking	elimegg	POST	pym3xef-fy0z		2011-08-18	김수정 교과서여행 체험학습갈만한곳 아차산 고구려대장간마을 광개토대왕릉비 
kbs1_greatking	b2stever	POST	pym5r3x-_0v16		2011-08-19	넌내반어제끝 cry 난이제사극만보고사야되낰 smile 계백이랑광개토 cry 그저눈물 cry 
kbs1_greatking	wlaurel99	POST	pym5v5q-y8gss		2011-08-19	광개토태왕보는사람미투 
kbs1_greatking	yujin-1	POST	pym5wo1-_md39		2011-08-16	대박 exclamation 아직문경새재인데광개토대왕에나오는이태곤봄 exclamation 
kbs1_greatking	ksj-1106	POST	pym6jzr-_tz60		2011-08-17	지금독도문제와동해표기문제가잇슈죠 아니 아 우리집인데왜우리집이라는걸증명을해야는지모르겠다는비유가하고싶네 우리집인데왜우리집이라는걸증명을해야는지모르겠다는비유가하고싶네요 다른나라지도를봐 만일본해라쓰고나머지나라는전부다동해라고씁니 만일본해라쓰고나머지나라는전부다동해라고씁니다 년에쓰여진광개토대왕릉비에도분명히동해라고적혀져있구요염연히우리나라의바다도수천년부터우리나라동쪽의바 년에쓰여진광개토대왕릉비에도분명히동해라고적혀져있구요염연히우리나라의바다도수천년부터우리나라동쪽의바다 는동해라고불러져왔는데세력이큰영국과미국이일본해라고표기한다면매우안좋은상황이일어날수도있습니다독도영유권에있어서만약동해가일본해가된다면일본의편을조금더들어줄수도있죠ㅡㅡ가수김장훈님이여러사람들과뜻을합쳐서그렇게발벗고홍보를했는데안타깝군요 여러분들의관심만이우리나라동해와독도를지킬수 여러분들의관심만이우리나라동해와독도를지킬수있습니 여러분들의관심만이우리나라동해와독도를지킬수있습니다 
kbs1_greatking	khsooyeon	POST	pymbc72-5y5bc		2011-08-21	나 나 짐 지 광개토 보 미투중 smile 
kbs1_greatking	yureey	POST	pymj597-_606y		2011-08-20	광개토대왕보는데 담망이죽었어 cry 담덕 담덕이 안쓰러워 안쓰럽 cry 무한도전닮은꼴 
kbs1_greatking	walfaaa2	POST	pymk8gf-ytl_9		2011-08-20	에 재미 광개토 대왕 대왕이 보 리버풀vs아스 리버풀vs아스날 후반전 하이라이트 확인해줄게 
kbs1_greatking	iyousens	POST	pyo4nqn-yq85k		2011-08-15	광개토태왕 예고 예 광개토 태왕 회 월 일 방송분 예고 예 
